Customer ID,First Name,Last Name,Age,Gender,Address,City,Contact Number,Email,Account Type,Account Balance,Date Of Account Opening,Last Transaction Date,TransactionID,Transaction Date,Transaction Type,Transaction Amount,Account Balance After Transaction,Branch ID,Loan ID,Loan Amount,Loan Type,Interest Rate,Loan Term,Approval/Rejection Date,Loan Status,CardID,Card Type,Credit Limit,Credit Card Balance,Minimum Payment Due,Payment Due Date,Last Credit Card Payment Date,Rewards Points,Feedback ID,Feedback Date,Feedback Type,Resolution Status,Resolution Date,Anomaly
72,Sandra,Hill,24,Female,Address_72,San Francisco,19458794925,sandra.hill@kag.com,Savings,8860.06,12/25/2002,12/22/2023,72,7/18/2023,Withdrawal,2299.24,6560.82,75,72,15634.98,Personal,3.88,12,1/15/2022,Approved,72,Visa,3866.07,1689.29,84.46,5/21/2023,10/9/2023,6865,72,11/7/2023,Complaint,Resolved,9/6/2023,1
73,Amanda,Smith,53,Male,Address_73,Memphis,19458794926,amanda.smith@kag.com,Savings,5886.75,10/12/2018,9/24/2023,73,1/29/2023,Withdrawal,2222.97,3663.78,37,73,32716.79,Mortgage,4.52,12,3/17/2021,Closed,73,Visa,5748.09,2421.45,121.07,1/30/2023,10/1/2023,257,73,9/1/2023,Complaint,Resolved,5/3/2023,1
74,Kimberly,Carter,34,Other,Address_74,Baltimore,19458794927,kimberly.carter@kag.com,Current,7951.57,9/29/2010,3/10/2023,74,10/31/2023,Transfer,2033.74,9985.31,30,74,11053.75,Auto,9.53,12,10/5/2022,Rejected,74,AMEX,8505.91,2587.65,129.38,11/26/2023,7/25/2023,7360,74,4/23/2023,Praise,Pending,7/22/2023,1
75,Elizabeth,Taylor,66,Other,Address_75,San Antonio,19458794928,elizabeth.taylor@kag.com,Savings,643.16,9/23/2016,10/17/2023,75,11/24/2023,Deposit,4119.78,4762.94,31,75,24700.58,Personal,5.15,60,8/21/2020,Rejected,75,MasterCard,4149.29,3478.89,173.94,10/30/2023,3/10/2023,1339,75,6/24/2023,Suggestion,Pending,5/19/2023,-1
76,Margaret,Nelson,21,Other,Address_76,Tucson,19458794929,margaret.nelson@kag.com,Current,6766.61,1/1/2005,8/17/2023,76,3/4/2023,Transfer,3518.75,3247.86,33,76,7925.84,Mortgage,7.53,12,3/27/2022,Rejected,76,MasterCard,6771.04,826.25,41.31,3/2/2023,2/6/2023,5136,76,10/11/2023,Suggestion,Pending,3/31/2023,1
77,Susan,Harris,54,Female,Address_77,San Antonio,19458794930,susan.harris@kag.com,Savings,884.02,3/21/2019,9/18/2023,77,5/29/2023,Transfer,546.01,1430.03,76,77,15932.98,Auto,5.95,36,8/8/2020,Rejected,77,AMEX,6816.02,2876.14,143.81,12/8/2023,8/1/2023,1868,77,8/2/2023,Praise,Pending,5/29/2023,1
78,Donald,Williams,50,Other,Address_78,Las Vegas,19458794931,donald.williams@kag.com,Savings,5607.93,10/15/2013,1/20/2023,78,11/9/2023,Withdrawal,1819.77,3788.16,27,78,15576.59,Personal,7.88,36,8/22/2022,Closed,78,MasterCard,4167.36,2895.65,144.78,7/17/2023,2/2/2023,2974,78,10/4/2023,Suggestion,Resolved,9/11/2023,1
79,Deborah,Anderson,36,Female,Address_79,Austin,19458794932,deborah.anderson@kag.com,Current,5027.9,11/4/2014,3/4/2023,79,9/26/2023,Transfer,2987.43,2040.47,78,79,35050.1,Mortgage,3.86,12,5/5/2022,Closed,79,AMEX,7692.29,1834.95,91.75,10/13/2023,1/20/2023,9311,79,4/15/2023,Praise,Resolved,8/22/2023,1
80,Joseph,Lewis,43,Other,Address_80,Dallas,19458794933,joseph.lewis@kag.com,Current,9461.48,2/24/2002,10/28/2023,80,6/4/2023,Deposit,1918.62,11380.1,58,80,14831.38,Personal,8.89,12,12/12/2022,Closed,80,AMEX,5756.9,4821.45,241.07,1/21/2023,7/17/2023,5682,80,10/20/2023,Praise,Pending,6/16/2023,1
81,Linda,Nelson,28,Female,Address_81,Fort Worth,19458794934,linda.nelson@kag.com,Current,1411.4,10/6/2018,6/19/2023,81,7/15/2023,Deposit,1049.44,361.96,1,81,45026.29,Personal,5.94,24,9/14/2020,Closed,81,AMEX,6346.33,3725.51,186.28,8/7/2023,8/24/2023,8898,81,6/17/2023,Complaint,Resolved,12/16/2023,1
82,Susan,Young,48,Other,Address_82,Sacramento,19458794935,susan.young@kag.com,Current,193.96,10/11/2010,1/13/2023,82,12/10/2023,Deposit,3143.98,-2950.02,64,82,49169.26,Mortgage,3.78,36,2/22/2022,Approved,82,MasterCard,4514.98,3553.84,177.69,10/30/2023,4/30/2023,4919,82,5/6/2023,Complaint,Resolved,4/4/2023,1
83,Daniel,Sanchez,18,Male,Address_83,Houston,19458794936,daniel.sanchez@kag.com,Savings,1459.81,5/16/2008,5/17/2023,83,4/15/2023,Deposit,3015.22,4475.03,72,83,4972.02,Auto,1.34,24,2/24/2021,Approved,83,MasterCard,1809.62,4365.64,218.28,7/22/2023,5/4/2023,9222,83,8/13/2023,Praise,Resolved,3/19/2023,1
84,Michelle,Thomas,57,Male,Address_84,Mesa,19458794937,michelle.thomas@kag.com,Current,1789.99,7/6/2015,8/12/2023,84,9/22/2023,Deposit,4873.3,-3083.31,72,84,20484.73,Mortgage,1.12,24,11/6/2020,Closed,84,AMEX,7285.15,1694.55,84.73,5/21/2023,7/11/2023,6577,84,10/30/2023,Complaint,Pending,7/11/2023,1
85,Charles,Harris,53,Female,Address_85,Louisville,19458794938,charles.harris@kag.com,Current,2584.02,1/10/2010,4/4/2023,85,3/15/2023,Transfer,2809.74,-225.72,93,85,15790.21,Mortgage,4.18,12,12/14/2022,Approved,85,AMEX,4087.24,1063.35,53.17,4/12/2023,10/31/2023,697,85,3/4/2023,Praise,Resolved,4/13/2023,1
86,Jessica,Ramirez,46,Other,Address_86,San Jose,19458794939,jessica.ramirez@kag.com,Current,8169.38,6/2/2018,6/26/2023,86,3/16/2023,Deposit,4372.74,3796.64,26,86,18247.52,Personal,2.94,24,8/3/2020,Rejected,86,MasterCard,6476.25,2191.43,109.57,3/25/2023,12/9/2023,4225,86,8/23/2023,Suggestion,Resolved,3/18/2023,1
87,Brian,Rodriguez,42,Other,Address_87,El Paso,19458794940,brian.rodriguez@kag.com,Savings,3831.12,4/12/2013,12/14/2023,87,4/7/2023,Deposit,4746.49,8577.61,90,87,14002.39,Mortgage,1.47,12,11/24/2021,Approved,87,AMEX,9170.78,2987.74,149.39,3/7/2023,12/16/2023,8866,87,7/2/2023,Complaint,Pending,2/24/2023,1
88,Karen,Smith,64,Male,Address_88,Denver,19458794941,karen.smith@kag.com,Current,8423.5,10/19/2015,12/23/2023,88,8/29/2023,Transfer,2179.57,10603.07,49,88,19750.58,Personal,5.98,12,9/8/2020,Approved,88,Visa,8514.73,2788.0,139.4,8/8/2023,4/13/2023,7888,88,7/7/2023,Complaint,Pending,3/19/2023,1
89,Timothy,Lewis,66,Other,Address_89,Atlanta,19458794942,timothy.lewis@kag.com,Savings,2792.15,7/2/2021,6/5/2023,89,5/19/2023,Transfer,273.94,3066.09,84,89,7929.32,Auto,9.9,48,8/30/2020,Approved,89,Visa,6663.31,1102.03,55.1,5/26/2023,3/21/2023,4072,89,3/3/2023,Praise,Pending,2/19/2023,1
90,Nancy,Perez,35,Other,Address_90,Colorado Springs,19458794943,nancy.perez@kag.com,Savings,8619.36,6/22/2022,5/1/2023,90,4/19/2023,Deposit,726.04,7893.32,44,90,14711.1,Personal,4.8,36,8/19/2020,Approved,90,MasterCard,3047.11,1343.47,67.17,8/11/2023,8/7/2023,1434,90,8/1/2023,Suggestion,Resolved,8/25/2023,1
91,Sandra,Thomas,20,Female,Address_91,Las Vegas,19458794944,sandra.thomas@kag.com,Current,180.1,11/25/2016,6/20/2023,91,1/28/2023,Deposit,2524.81,2704.91,43,91,37643.08,Mortgage,5.97,60,1/21/2020,Closed,91,Visa,5646.98,4628.69,231.43,5/28/2023,2/11/2023,6763,91,2/24/2023,Complaint,Pending,4/8/2023,1
92,Matthew,Green,35,Male,Address_92,Indianapolis,19458794945,matthew.green@kag.com,Savings,9351.9,3/12/2022,7/17/2023,92,4/12/2023,Withdrawal,4465.86,4886.04,49,92,17858.28,Mortgage,2.98,36,7/20/2021,Approved,92,MasterCard,4373.69,405.51,20.28,9/27/2023,11/30/2023,1807,92,1/3/2023,Complaint,Pending,5/11/2023,1
93,Brian,Baker,24,Other,Address_93,Tucson,19458794946,brian.baker@kag.com,Current,7485.89,11/29/2002,6/18/2023,93,12/16/2023,Deposit,3274.12,10760.01,52,93,11183.91,Mortgage,2.84,60,7/4/2022,Approved,93,Visa,6319.51,2520.25,126.01,9/2/2023,7/21/2023,7430,93,9/29/2023,Praise,Pending,8/18/2023,1
94,Kenneth,Green,45,Other,Address_94,Fort Worth,19458794947,kenneth.green@kag.com,Savings,4186.03,7/4/2002,6/21/2023,94,4/29/2023,Deposit,1015.39,3170.64,71,94,6313.76,Auto,3.96,48,9/4/2022,Rejected,94,MasterCard,7582.01,2373.34,118.67,7/19/2023,9/12/2023,2695,94,2/22/2023,Suggestion,Resolved,7/27/2023,1
95,Mark,Miller,34,Female,Address_95,Fresno,19458794948,mark.miller@kag.com,Savings,5815.62,8/18/2004,6/6/2023,95,3/13/2023,Withdrawal,3508.21,9323.83,32,95,18052.2,Mortgage,8.52,48,6/18/2021,Closed,95,Visa,7536.36,1916.85,95.84,12/12/2023,3/17/2023,2170,95,2/24/2023,Praise,Pending,4/26/2023,1
96,Joseph,Wilson,42,Female,Address_96,San Antonio,19458794949,joseph.wilson@kag.com,Current,9336.87,12/24/2016,11/20/2023,96,1/27/2023,Transfer,4472.15,13809.02,55,96,32527.05,Mortgage,9.65,36,9/5/2022,Rejected,96,MasterCard,1512.66,3918.05,195.9,10/27/2023,12/26/2023,1024,96,11/12/2023,Complaint,Resolved,4/26/2023,1
97,Brian,Lewis,35,Female,Address_97,Austin,19458794950,brian.lewis@kag.com,Current,5867.35,3/24/2008,7/29/2023,97,5/30/2023,Transfer,160.83,5706.52,18,97,13411.94,Personal,7.66,48,9/22/2020,Approved,97,Visa,4355.01,4612.91,230.65,10/4/2023,11/17/2023,2512,97,2/24/2023,Suggestion,Resolved,7/25/2023,1
98,James,Jackson,69,Female,Address_98,Milwaukee,19458794951,james.jackson@kag.com,Savings,2362.83,12/21/2013,10/8/2023,98,6/19/2023,Transfer,1221.63,3584.46,86,98,21699.84,Mortgage,1.19,48,10/18/2022,Approved,98,AMEX,4510.45,4986.37,249.32,10/6/2023,1/14/2023,7899,98,5/26/2023,Praise,Resolved,6/23/2023,1
99,Matthew,Jackson,57,Other,Address_99,Memphis,19458794952,matthew.jackson@kag.com,Current,5771.45,4/24/2009,7/15/2023,99,6/9/2023,Deposit,774.37,6545.82,59,99,47667.53,Personal,4.95,12,5/12/2021,Rejected,99,MasterCard,2685.39,613.7,30.68,7/30/2023,7/22/2023,3175,99,9/17/2023,Suggestion,Pending,2/10/2023,1
100,John,Johnson,60,Other,Address_100,San Jose,19458794953,john.johnson@kag.com,Current,8727.33,10/15/2004,9/27/2023,100,5/22/2023,Withdrawal,3922.67,12650.0,29,100,28065.78,Auto,4.79,48,8/1/2022,Rejected,100,AMEX,5380.02,214.28,10.71,1/3/2023,4/1/2023,8789,100,8/22/2023,Praise,Resolved,3/31/2023,1
